N,Посада,Мова програмування,Спеціалізація,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Університет,Ще студент,Рівень англійської,Предметна область,Дата заповнення,User.Agent,exp,current_job_exp,salary,Валюта,cls,Unnamed: 25,Unnamed: 26,avg
7813,Junior Software Engineer,Java,,1.0,1.0,1150,600,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,28,Вища,КНУ ім. Шевченко,False,Intermediate (середній),Корпоративні системи,04/07/2017 17:27:25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,1.0,1150,,DEV,,,1150
7814,Junior Software Engineer,JavaScript,,2.0,1.0,700,200,Віддалено,до 50 осіб,Аутстафінгова,чоловіча,21,Середня,,False,Intermediate (середній),,04/07/2017 17:29:27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2.0,1.0,700,,DEV,,,700
7815,Senior QA engineer,,Manual QA,7.0,,1500,0,Київ,більше 1000 осіб,Аутсорсингова,жіноча,38,Вища,ХАІ,False,Upper-Intermediate (вище середнього),Телекомунікації,04/07/2017 17:31:46,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",7.0,0.0,1500,,QA,,,1500
7816,Sysadmin,,,,2.0,1040,100,Одеса,до 10 осіб,Інша,чоловіча,34,Вища,ОНУ ім. Мечникова,False,Intermediate (середній),"Телекомунікації,Корпоративні системи",04/07/2017 17:33:58,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",10.0,2.0,1040,,,,,1040
7817,Designer,,,3.0,0.5,1300,300,Одеса,до 200 осіб,Продуктова,жіноча,27,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"iOS,Веб-розробка",04/07/2017 17:37:40,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",3.0,0.5,1300,,,,,1300
7818,Business analyst,,,5.0,2.0,2000,500,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,30,Вища,ЛНУ ім. Франко,False,Upper-Intermediate (вище середнього),"Фінанси та банкінг,Корпоративні системи",04/07/2017 17:47:05,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,2.0,2000,,,,,2000
7819,Marketing,,,3.0,3.0,350,0,Миколаїв,до 200 осіб,Продуктова,чоловіча,25,Вища,ЧГУ ім. Петра Могили,False,Upper-Intermediate (вище середнього),Веб-розробка,04/07/2017 17:48:07,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",3.0,3.0,350,,,,,350
7820,Junior Software Engineer,Java,,,,500,200,Київ,до 10 осіб,Аутсорсингова,чоловіча,20,Неповна Вища,НТУУ «КПІ»,True,Intermediate (середній),Android,04/07/2017 17:54:32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",0.0,0.0,500,,DEV,,,500
7821,Team lead,,,5.0,3.0,800,150,Львів,до 50 осіб,Інша,чоловіча,24,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Веб-розробка,04/07/2017 17:57:28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,3.0,800,,PM,,,800
7822,Support,,,2.0,2.0,550,260,Київ,до 50 осіб,Аутсорсингова,чоловіча,20,Середня,,False,Upper-Intermediate (вище середнього),Інше,04/07/2017 17:59:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",2.0,2.0,550,,,,,550
7823,QA engineer,,General QA,1.5,1.5,1000,500,Київ,до 200 осіб,Аутсорсингова,жіноча,23,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",04/07/2017 18:06:07,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,1000,,QA,,,1000
7824,Software Engineer,Java,,4.0,,2400,400,Харків,більше 1000 осіб,Аутсорсингова,чоловіча,33,Вища,НТУ «ХПІ»,False,Intermediate (середній),eCommerce,04/07/2017 18:14:54,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4.0,0.0,2400,,DEV,,,2400
7825,Marketing,,,3.0,1.5,1800,0,Київ,до 1000 осіб,Продуктова,чоловіча,27,Неповна Вища,НАУ,False,Intermediate (середній),"Мультимедіа,Інше",04/07/2017 18:20:16,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36 OPR/46.0.2597.32",3.0,1.5,1800,,,,,1800
7826,Junior Software Engineer,PHP,,3.0,0.25,200,0,Харків,до 50 осіб,Інша,чоловіча,30,Вища,ХАІ,False,Elementary (початковий),Веб-розробка,04/07/2017 18:49:52,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",3.0,0.25,200,,DEV,,,200
7827,Senior Software Engineer,Java,,6.0,6.0,1615,0,Вінниця,до 200 осіб,Аутсорсингова,чоловіча,29,Вища,ВНТУ,False,Intermediate (середній),Gamedev,04/07/2017 19:16:21,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",6.0,6.0,1615,,DEV,,,1615
7828,Senior Software Engineer,Java,,6.0,2.0,3600,0,Дніпро,до 200 осіб,Продуктова,чоловіча,25,Вища,ДНУ ім. Гончара,False,Upper-Intermediate (вище середнього),"Веб-розробка,Інше",04/07/2017 19:19:55,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",6.0,2.0,3600,,DEV,,,3600
7829,Designer,,,1.0,0.5,300,160,Запоріжжя,до 50 осіб,Інша,жіноча,24,Вища,Інший ВНЗ,False,Intermediate (середній),"Веб-розробка,eCommerce",04/07/2017 19:40:46,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,0.5,300,,,,,300
7830,Senior Software Engineer,Java,,5.0,1.5,6500,0,Львів,до 10 осіб,Інша,чоловіча,25,Дві вищих,ЛНУ ім. Франко,False,Advanced (просунутий),"Веб-розробка,Системне програмування",04/07/2017 19:52:47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,1.5,6500,h,DEV,,,6500
7831,HTML coder,,,1.0,0.5,400,400,Київ,до 10 осіб,Інша,чоловіча,21,Неповна Вища,КНУСА,True,Elementary (початковий),Веб-розробка,04/07/2017 19:54:30,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,0.5,400,,,,,400
7832,Junior Software Engineer,C++,,1.0,0.5,580,80,Київ,до 50 осіб,Стартап,чоловіча,19,Вища,ВНТУ,True,Upper-Intermediate (вище середнього),Desktop Applications,04/07/2017 20:19:19,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36 OPR/46.0.2597.32",1.0,0.5,580,,DEV,,,580
7833,Senior Software Engineer,C#/.NET,,5.0,0.25,2500,1600,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,24,Вища,КНУСА,False,Upper-Intermediate (вище середнього),"Веб-розробка,Системне програмування",04/07/2017 20:35:08,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,5.0,0.25,2500,,DEV,,,2500
7834,HTML coder,,,1.5,1.5,200,100,Київ,до 10 осіб,Стартап,чоловіча,21,Вища,КНУТД,True,Elementary (початковий),Веб-розробка,04/07/2017 21:09:01,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.5,1.5,200,,,,,200
7835,Junior Software Engineer,Java,,2.0,0.25,2000,500,Інше,до 50 осіб,Інша,чоловіча,24,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,04/07/2017 21:12:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2.0,0.25,2000,,DEV,,,2000
7836,Junior Software Engineer,Java,,,,500,500,Кропивницький,до 200 осіб,Аутсорсингова,чоловіча,19,Неповна Вища,Інший ВНЗ,True,Intermediate (середній),Android,04/07/2017 21:41:01,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",0.0,0.0,500,,DEV,,,500
7837,DevOps,,,2.0,0.5,1500,500,Київ,до 1000 осіб,Продуктова,чоловіча,24,Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),"Веб-розробка,Корпоративні системи",04/07/2017 22:00:27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,1500,,ADM,,,1500
7838,Junior Software Engineer,C#/.NET,,0.5,0.5,900,900,Львів,до 50 осіб,Аутсорсингова,чоловіча,20,Неповна Вища,ЛНУ ім. Франко,True,Pre-intermediate (нище середнього),Веб-розробка,04/07/2017 22:02:11,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/51.0.2704.104 Mobile/13G36 Safari/601.1.46",0.5,0.5,900,,DEV,,,900
7839,Junior Software Engineer,JavaScript,,1.5,1.5,800,300,Одеса,до 200 осіб,Продуктова,жіноча,22,Вища,ОНПУ,False,Upper-Intermediate (вище середнього),Веб-розробка,04/07/2017 22:11:34,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.5,1.5,800,,DEV,,,800
7840,Senior QA engineer,,Manual QA,4.0,3.0,2000,400,Одеса,до 200 осіб,Продуктова,чоловіча,29,Вища,Інший ВНЗ,False,Intermediate (середній),,04/07/2017 22:22:33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",4.0,3.0,2000,,QA,,,2000
7841,Software Engineer,C#/.NET,,4.0,3.0,1900,150,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,25,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Desktop Applications,04/07/2017 22:34:09,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36 OPR/46.0.2597.32",4.0,3.0,1900,,DEV,,,1900
7842,Software Engineer,JavaScript,,2.0,0.25,500,-50,Харків,до 10 осіб,Стартап,чоловіча,32,Дві вищих,ХНУРЕ,False,Pre-intermediate (нище середнього),"Веб-розробка,Інше",04/07/2017 22:41:07,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2.0,0.25,500,,DEV,,,500
7843,Project manager,,,5.0,,3100,400,Харків,до 200 осіб,Продуктова,жіноча,32,Кандидат,НТУ «ХПІ»,False,Advanced (просунутий),"Веб-розробка,Інше",04/07/2017 22:49:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.0,3100,,PM,,,3100
7844,Designer,,,2.0,1.5,1000,500,Харків,до 200 осіб,Аутсорсингова,чоловіча,22,Вища,ХНУРЕ,True,Pre-intermediate (нище середнього),"Desktop Applications,Веб-розробка",04/07/2017 23:02:28,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 YaBrowser/17.6.0.1635 Yowser/2.5 Safari/537.36",2.0,1.5,1000,,,,,1000
7845,Support,,,3.0,2.0,350,175,Херсон,до 1000 осіб,Аутстафінгова,чоловіча,25,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,04/07/2017 23:29:04,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36 OPR/37.0.2178.43",3.0,2.0,350,,,,,350
7846,Designer,,,5.0,1.5,600,0,Дніпро,до 10 осіб,Продуктова,чоловіча,31,Вища,Інший ВНЗ,False,Advanced (просунутий),"iOS,Веб-розробка",04/07/2017 23:46:14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,1.5,600,,,,,600
7847,Software Engineer,PHP,,5.0,3.0,1500,0,Одеса,до 50 осіб,Інша,чоловіча,33,Вища,ОНПУ,False,Intermediate (середній),Веб-розробка,04/07/2017 23:46:58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",5.0,3.0,1500,,DEV,,,1500
7848,Sales manager,,,1.5,0.5,740,0,Харків,до 1000 осіб,Аутсорсингова,жіноча,25,Вища,ХНУРЕ,False,Advanced (просунутий),Інше,05/07/2017 0:13:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.5,0.5,740,,,,,740
7849,Software Engineer,Java,,2.0,1.5,1300,400,Київ,до 1000 осіб,Аутсорсингова,жіноча,23,Вища,НТУУ «КПІ»,False,Intermediate (середній),Інше,05/07/2017 0:15:56,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.5,1300,,DEV,,,1300
7850,Software Engineer,C#/.NET,,2.0,0.5,2200,200,Київ,до 200 осіб,Аутсорсингова,чоловіча,25,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Веб-розробка,05/07/2017 0:19:21,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 3 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36",2.0,0.5,2200,,DEV,,,2200
7851,Software Engineer,Ruby/Rails,,3.0,2.0,2500,700,Київ,до 50 осіб,Продуктова,чоловіча,26,Вища,Інший ВНЗ,False,Intermediate (середній),"Веб-розробка,Корпоративні системи",05/07/2017 0:40:12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",3.0,2.0,2500,,DEV,,,2500
7852,Project manager,,,,,800,0,Харків,до 50 осіб,Аутсорсингова,жіноча,20,Неповна Вища,ХНЕУ,True,Upper-Intermediate (вище середнього),"iOS,Веб-розробка",05/07/2017 0:46:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",0.0,0.0,800,,PM,,,800
7853,Technical Lead,JavaScript,,6.0,0.5,3500,1300,Вінниця,до 10 осіб,Аутсорсингова,чоловіча,29,Вища,ДонНТУ,False,Intermediate (середній),"Веб-розробка,Корпоративні системи",05/07/2017 1:00:59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",6.0,0.5,3500,,SDEV,,,3500
7854,Junior QA engineer,,Manual QA,,,315,0,Київ,до 1000 осіб,Продуктова,чоловіча,24,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Gamedev,05/07/2017 1:22:07,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",0.0,0.0,315,,QA,,,315
7855,HTML coder,,,4.0,0.25,550,80,Харків,до 200 осіб,Аутсорсингова,чоловіча,24,Вища,ХНЕУ,False,Pre-intermediate (нище середнього),Веб-розробка,05/07/2017 1:24:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",4.0,0.25,550,,,,,550
7856,Senior Software Engineer,Java,,4.0,1.0,2300,1300,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,23,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Фінанси та банкінг",05/07/2017 3:23:16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",4.0,1.0,2300,,DEV,,,2300
7857,Business analyst,,,,0.25,1800,400,Київ,більше 1000 осіб,Аутсорсингова,жіноча,35,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Інше,05/07/2017 4:09:36,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",10.0,0.25,1800,,,,,1800
7858,Software Engineer,SQL,,2.0,,1000,450,Львів,до 200 осіб,Продуктова,чоловіча,25,Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),"Корпоративні системи,Інше",05/07/2017 7:40:35,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",2.0,0.0,1000,,DEV,,,1000
7859,Senior Software Engineer,JavaScript,,4.0,1.0,1600,1200,Суми,до 50 осіб,Аутсорсингова,чоловіча,32,Вища,СумГУ,False,Intermediate (середній),"Веб-розробка,Корпоративні системи",05/07/2017 8:30:47,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",4.0,1.0,1600,,DEV,,,1600
7860,Junior QA engineer,,Manual QA,,,200,0,Вінниця,до 10 осіб,Стартап,чоловіча,24,Вища,НТУ «ХПІ»,False,Elementary (початковий),Веб-розробка,05/07/2017 8:32:19,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,0.0,0.0,200,,QA,,,200
7861,Senior Software Engineer,C#/.NET,,9.0,1.5,3100,150,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,37,Вища,НТУУ «КПІ»,False,Intermediate (середній),Фінанси та банкінг,05/07/2017 8:51:35,"Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9500 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.4 Chrome/51.0.2704.106 Mobile Safari/537.36",9.0,1.5,3100,,DEV,,,3100
7862,Software Engineer,Java,,1.0,1.0,270,55,Харків,до 200 осіб,Аутсорсингова,чоловіча,23,Вища,НТУ «ХПІ»,True,Elementary (початковий),Android,05/07/2017 9:18:09,"Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 630 Dual SIM) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537",1.0,1.0,270,,DEV,,,270
7863,Business analyst,,,2.0,1.0,1500,100,Харків,до 1000 осіб,Аутстафінгова,жіноча,37,Вища,ХАІ,False,Advanced (просунутий),"Desktop Applications,Веб-розробка",05/07/2017 9:40:55,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",2.0,1.0,1500,,,,,1500
7864,Product Manager,,,1.5,0.25,950,650,Київ,до 50 осіб,Продуктова,жіноча,26,Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),Веб-розробка,05/07/2017 9:42:28,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 4 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36",1.5,0.25,950,,,,,950
7865,Business analyst,,,2.0,2.0,800,100,Київ,до 50 осіб,Аутсорсингова,чоловіча,23,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),"Телекомунікації,eCommerce",05/07/2017 10:29:56,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2.0,2.0,800,,,,,800
7866,Software Engineer,PHP,,2.0,2.0,1000,500,Київ,до 50 осіб,Інша,чоловіча,28,Вища,НТУУ «КПІ»,False,Pre-intermediate (нище середнього),Веб-розробка,05/07/2017 10:30:05,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1000,,DEV,,,1000
7867,Software Engineer,Java,,2.0,2.0,1850,600,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,26,Вища,КНУ ім. Шевченко,False,Intermediate (середній),"Веб-розробка,Корпоративні системи",05/07/2017 10:33:08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1850,,DEV,,,1850
7868,Software Engineer,Java,,4.0,,2000,600,Київ,до 50 осіб,Продуктова,чоловіча,29,Вища,ДНУ ім. Гончара,False,Intermediate (середній),Телекомунікації,05/07/2017 10:34:11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.0,2000,,DEV,,,2000
7869,QA engineer,,Manual QA,1.0,0.5,800,400,Харків,до 50 осіб,Аутсорсингова,жіноча,30,Вища,ХНЕУ,False,Upper-Intermediate (вище середнього),"Android, Веб-розробка",05/07/2017 10:36:20,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",1.0,0.5,800,,QA,,,800
7870,Technical writer,,,3.0,2.0,800,250,Львів,до 50 осіб,Продуктова,жіноча,22,Неповна Вища,Львівська Політехніка,False,Advanced (просунутий),"Мультимедіа,Інше",05/07/2017 11:05:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",3.0,2.0,800,,,,,800
7871,Senior Software Engineer,Swift,,,0.5,4000,0,Київ,до 50 осіб,Аутсорсингова,чоловіча,40,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),iOS,05/07/2017 11:11:24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.23 (KHTML, like Gecko) Version/10.1 Safari/603.1.23",10.0,0.5,4000,,DEV,,,4000
7872,Junior Software Engineer,C#/.NET,,2.0,1.0,1300,700,Віддалено,до 50 осіб,Аутстафінгова,чоловіча,22,Вища,НТУУ «КПІ»,False,Intermediate (середній),Веб-розробка,05/07/2017 11:12:57,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2.0,1.0,1300,,DEV,,,1300
7873,Sysadmin,,,7.0,0.5,200,0,Інше,до 50 осіб,Інша,чоловіча,28,Вища,Інший ВНЗ,False,Intermediate (середній),Телекомунікації,05/07/2017 11:18:47,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",7.0,0.5,200,,,,,200
7874,Junior QA engineer,,Manual QA,0.5,,300,0,Київ,до 50 осіб,Інша,жіноча,20,Неповна Вища,НТУУ «КПІ»,True,Intermediate (середній),,05/07/2017 11:20:13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",0.5,0.0,300,,QA,,,300
7875,Sysadmin,,,1.0,1.0,250,100,Харків,до 200 осіб,Інша,чоловіча,24,Вища,ДонНТУ,False,Pre-intermediate (нище середнього),"Телекомунікації,Корпоративні системи",05/07/2017 11:31:43,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",1.0,1.0,250,,,,,250
7876,Senior Software Engineer,Java,,5.0,1.0,1900,0,Віддалено,до 50 осіб,Аутсорсингова,чоловіча,27,Вища,Інший ВНЗ,False,Intermediate (середній),Android,05/07/2017 11:35:08,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,1.0,1900,,DEV,,,1900
7877,Technical Lead,PHP,,,1.0,3000,200,Київ,до 50 осіб,Продуктова,чоловіча,36,Неповна Вища,НАУ,False,Pre-intermediate (нище середнього),"Веб-розробка,Корпоративні системи",05/07/2017 11:35:47,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,10.0,1.0,3000,,SDEV,,,3000
7878,HR,,,1.5,1.5,250,0,Дніпро,до 50 осіб,Аутсорсингова,жіноча,23,Неповна Вища,ДНУ ім. Гончара,False,Advanced (просунутий),Інше,05/07/2017 11:39:39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",1.5,1.5,250,,,,,250
7879,Junior Software Engineer,Objective-C,,1.5,0.5,1200,800,Запоріжжя,до 50 осіб,Продуктова,чоловіча,25,Вища,ДНУ ім. Гончара,False,Intermediate (середній),iOS,05/07/2017 11:49:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",1.5,0.5,1200,,DEV,,,1200
